"filename","publisher","archetype","chart_type","source_url","one_line_note"
"finance/bacen_areaplot.png","bacen","finance","area","https://www.bcb.gov.br/conteudo/relatorioinflacao/EstudosEspeciais/EE110_fluxo_financeiro_e_impulso_credito.pdf","Signed stacked areas above and below a heavy black zero line with the net series drawn over them as a line; ochre and steel blue as the two-way default; no gridlines; legend below with line and patch keys"
"finance/bacen_lineplots.png","bacen","finance","line","https://www.bcb.gov.br/conteudo/relatorioinflacao/EstudosEspeciais/EE110_fluxo_financeiro_e_impulso_credito.pdf","Two panels; bold sans title numbered as Grafico N, subtitle, then unit line above the axis; dual axis marked only by eixo dir in the legend; white ground, no gridlines, black zero line; two-line month-over-year ticks"
"finance/bacen_lineplots_2.png","bacen","finance","line","https://www.bcb.gov.br/conteudo/relatorioinflacao/EstudosEspeciais/EE110_fluxo_financeiro_e_impulso_credito.pdf","Four-panel grid repeating one construction across segments; identical axis treatment per panel with free y ranges; ochre and steel blue held constant so the series read the same across panels"
"finance/bacen_lineplot_scatter.png","bacen","finance","scatter","https://www.bcb.gov.br/conteudo/relatorioinflacao/EstudosEspeciais/EE112_ancoragem_expectativas_inflacao_conducao_politica_monetaria.pdf","Line panel paired with a scatter; scatter fills points by period and overlays three fitted lines, solid black for the full sample and dotted colour per subsample; decimal comma throughout"
"finance/bacen_lineplot_scatter_2.png","bacen","finance","scatter","https://www.bcb.gov.br/conteudo/relatorioinflacao/EstudosEspeciais/EE112_ancoragem_expectativas_inflacao_conducao_politica_monetaria.pdf","Single-series line beside a dense scatter crossed by axis lines at zero on both dimensions; same period-fill and three-fit convention; explanatory Nota line under the left panel"
"finance/bis_panel_boxplot.png","bis","finance","other","https://www.bis.org/publications/aer-2026","Three-panel graph; boxplots with overlaid period dots, a forecast dotted line over a range band, and a stacked column; grey panel fill with white gridlines; Lhs and Rhs labelled inside the panel across a dashed divider"
"finance/bis_panel_lin_area_cols_shade.png","bis","finance","other","https://www.bis.org/publications/aer-2026","Stacked columns against a right-axis line, a grouped column pair split by a dashed divider, and an impulse response with a matching-hue confidence band; panel C drops the grey fill the other two use"
"finance/bis_panel_col_lines.png","bis","finance","other","https://www.bis.org/publications/aer-2026","Stacked columns where the forecast bar is cross-hatched rather than recoloured, beside solid-versus-dashed line pairs; legend below groups keys under a prefix label ending in a colon"
"finance/bis_panel_line_cols.png","bis","finance","other","https://www.bis.org/publications/aer-2026","Dotted announced series against a solid realised one, a signed stacked revision decomposition carrying a dot for the prior estimate, and bars with 90 percent interval whiskers drawn in a darker tone of the bar hue"
"finance/bis_panel_lines_scatter.png","bis","finance","scatter","https://www.bis.org/publications/aer-2026","Scatter with a 45 degree dashed reference and the four quadrants labelled in prose; flanking line panels carry a vertical event rule keyed to a lettered footnote; unit sits top-right of each panel in grey"
"finance/imf_panel_lines_shade.png","imf","finance","line","https://www.imf.org/en/publications/weo/issues/2025/10/14/world-economic-outlook-october-2025","Four stacked line panels sharing one legend set above the figure; interquartile band in a light tint of the lead hue; tick dashes mirrored on the right edge without labels; blue figure title over an italic parenthetical unit"
"finance/imf_panel_lines.png","imf","finance","line","https://www.imf.org/en/publications/weo/issues/2025/10/14/world-economic-outlook-october-2025","Two line panels under a shared top legend; reference line at the index base in light grey; numbered bold sub-panel titles set inline above each axis"
"finance/imf_panel_lines_2.png","imf","finance","line","https://www.imf.org/en/publications/weo/issues/2025/10/14/world-economic-outlook-october-2025","Three panels comparing two episodes; each episode keeps its hue while solid versus dashed separates the two measures, so the legend splits on style rather than colour; x axis centred on an event at zero"
"finance/imf_panel_lines_shaded_2.png","imf","finance","line","https://www.imf.org/en/publications/weo/issues/2025/10/14/world-economic-outlook-october-2025","Line panels with the forecast horizon marked by a grey block behind the lines rather than by a change in line style; black reserved for the aggregate series against coloured members"
"finance/imf_panel_cols.png","imf","finance","stacked_bar","https://www.imf.org/en/publications/weo/issues/2025/10/14/world-economic-outlook-october-2025","Signed contribution columns summing to a black overlay line for the total; four country panels share one legend and a common component palette; residual folded into a named component and disclosed in the note"
"finance/imf_panel_cols_2.png","imf","finance","stacked_bar","https://www.imf.org/en/publications/weo/issues/2025/10/14/world-economic-outlook-october-2025","Diverging stacked columns about zero with a right-scale overlay line; forecast years sit under a grey block; long membership definitions carried in the note rather than the legend"
"finance/imf_panel_line_col.png","imf","finance","other","https://www.imf.org/en/publications/weo/issues/2025/10/14/world-economic-outlook-october-2025","Step line panel over a stacked column panel; square markers overlay the columns to carry a second vintage; category axis labels set vertically to fit a long list"
"finance/imf_col.png","imf","finance","bar","https://www.imf.org/en/publications/weo/issues/2025/10/14/world-economic-outlook-october-2025","Single panel comparing vintages: current bars against square markers for the prior release; year groups separated by bracket rules under the axis with the country name centred beneath"
"finance/imf_panel_col_line_scatter.png","imf","finance","other","https://www.imf.org/en/publications/weo/issues/2025/10/14/world-economic-outlook-october-2025","Grouped columns with a square marker for a derived benchmark, a line panel, and a bubble scatter labelled in place with country codes and values in parentheses"
"finance/imf_panel_scatter_col.png","imf","finance","scatter","https://www.imf.org/en/publications/weo/issues/2025/10/14/world-economic-outlook-october-2025","Bubble scatter against a 45 degree line where deviation from the diagonal is the message, over a range panel drawing the interquartile span as a thick bar with two square markers for competing averages"
"finance/oecd_panel_cols.png","oecd","finance","bar","https://www.oecd.org/en/publications/2026/06/oecd-economic-outlook-volume-2026-issue-1_8be0dba6.html","Four panels mixing grouped, diverging and sorted bars; bars carry black outlines and the palette changes between panels; panel D overlays a triangle for the prior year on each bar; StatLink line bottom-right"
"finance/oecd_panel_cols_line.png","oecd","finance","other","https://www.oecd.org/en/publications/2026/06/oecd-economic-outlook-volume-2026-issue-1_8be0dba6.html","Horizontal sorted bars split by a two-colour category beside grouped bars, with a boxed legend floating inside the panel; purple figure headline sits outside the chart palette"
